cycle, src_component, src_port, dst_component, dst_port, state, data
0, out_buf_lhs_nds_ctrlRes, 0, lhs_out_bl_ctrlRes, 1, idle, 
0, out_lf_dataRes, 1, out_buf_rhs_nds_dataRes, 0, transfer, 
0, rhs_ctrl_fork, 0, rhs_ctrl_not, 0, idle, 0
0, rhs_ori, 0, rhs_ri, 2, accept, 1
0, rhs_in_buf_ctrl, 0, rhs_ctrl_fork, 0, idle, 0
0, rhs_init_fork, 2, rhs_ctrl_mux, 0, stall, 0
0, rhs_ri_buff, 0, rhs_initop, 0, idle, 0
0, rhs_ctrlRes_passer, 0, rhs_out_bl_ctrlRes, 0, stall, 1
0, rhs_initop, 0, rhs_init_fork, 0, stall, 0
0, rhs_init_fork, 0, rhs_ri, 0, stall, 0
0, out_eq_dataRes, 0, EQ_dataRes, 1, accept, u
0, rhs_in_buf_cond, 0, rhs_ori, 1, idle, 0
0, lhs_out_bl_ctrlRes, 0, out_eq_ctrlRes, 0, idle, 1
0, out_lf_ctrlRes, 1, out_buf_rhs_nds_ctrlRes, 0, transfer, 
0, rhs_constant2, 0, rhs_ctrl_mux, 1, stall, 1
0, rhs_in_buf_dataF, 0, rhs_data_mux, 1, accept, u
0, lhs_ri, 0, lhs_ri_fork, 0, stall, 1
0, lhs_out_bl_dataRes, 0, out_eq_dataRes, 0, idle, u
0, rhs_ri_fork, 1, rhs_ctrlRes_passer, 0, stall, 1
0, in_fork_dataT, 1, rhs_in_buf_dataT, 0, transfer, u
0, out_lf_dataRes, 0, out_buf_lhs_nds_dataRes, 0, transfer, 
0, rhs_source1, 0, rhs_constant1, 0, stall, 
0, out_buf_rhs_nds_ctrlRes, 0, rhs_out_bl_ctrlRes, 1, idle, 
0, lhs_ri_fork, 0, lhs_ri_buff, 0, transfer, 1
0, lhs_ctrl_fork, 0, lhs_cond_passer, 1, idle, 0
0, rhs_ctrl_fork, 1, rhs_ctrl_mux, 2, accept, 0
0, lhs_initop, 0, lhs_init_fork, 0, stall, 0
0, cond, 2, ctx_cond_fork, 0, transfer, 1
0, in_fork_dataF, 0, lhs_in_buf_dataF, 0, transfer, u
0, rhs_init_fork, 1, rhs_data_mux, 0, stall, 0
0, in_fork_cond, 0, lhs_in_buf_cond, 0, transfer, 1
0, ctx_cond_fork, 1, ctx_passer, 0, transfer, 1
0, ctrl, 3, ctx_ctrl_fork, 0, transfer, 0
0, ctx_ctrl_fork, 1, ctx_passer, 1, transfer, 0
0, out_eq_ctrlRes, 0, EQ_ctrlRes, 0, accept, 1
0, out_buf_lhs_nds_dataRes, 0, lhs_out_bl_dataRes, 1, idle, 
0, rhs_ri_fork, 0, rhs_ri_buff, 0, transfer, 1
0, lhs_in_buf_dataF, 0, lhs_data_mux, 1, accept, u
0, in_fork_ctrl, 1, rhs_in_buf_ctrl, 0, transfer, 0
0, rhs_ctrl_muxed_fork, 0, rhs_ctrlRes_passer, 1, stall, 1
0, out_src_ctrlRes, 0, out_lf_ctrlRes, 0, transfer, 
0, in_fork_ctrl, 0, lhs_in_buf_ctrl, 0, transfer, 0
0, lhs_in_buf_ctrl, 0, lhs_ctrl_fork, 0, idle, 0
0, rhs_source2, 0, rhs_constant2, 0, stall, 
0, ctx_ctrl_fork, 0, in_fork_ctrl, 0, transfer, 0
0, rhs_dataRes_passer, 0, rhs_out_bl_dataRes, 0, idle, u
0, lhs_data_mux, 0, lhs_out_bl_dataRes, 0, idle, u
0, lhs_in_buf_dataT, 0, lhs_dataT_passer, 0, idle, u
0, lhs_init_fork, 1, lhs_data_mux, 0, stall, 0
0, in_fork_dataF, 1, rhs_in_buf_dataF, 0, transfer, u
0, rhs_ri, 0, rhs_ri_fork, 0, stall, 1
0, lhs_ctrl_fork, 1, lhs_dataT_passer, 1, idle, 0
0, lhs_source1, 0, lhs_constant1, 0, stall, 
0, rhs_constant1, 0, rhs_ri, 1, stall, 1
