cycle, src_component, src_port, dst_component, dst_port, state, data
0, rhs_passer1, 0, rhs_out_bl_C_out, 0, idle, u
0, in_fork_Cond, 1, rhs_in_buf_Cond, 0, transfer, 0
0, lhs_in_buf_A_in, 0, lhs_passer1, 0, idle, u
0, in_fork_B_in, 0, lhs_in_buf_B_in, 0, accept, u
0, rhs_in_buf_A_in, 0, rhs_andi, 0, idle, u
0, out_buf_lhs_nds_C_out, 0, lhs_out_bl_C_out, 1, idle, 
0, lhs_fork_cond, 0, lhs_passer1, 1, idle, 0
0, in_fork_B_in, 1, rhs_in_buf_B_in, 0, accept, u
0, out_lf_C_out, 1, out_buf_rhs_nds_C_out, 0, transfer, 
0, rhs_in_buf_B_in, 0, rhs_andi, 1, idle, u
0, lhs_out_bl_C_out, 0, out_eq_C_out, 0, idle, u
0, lhs_in_buf_Cond, 0, lhs_fork_cond, 0, idle, 0
0, lhs_andi, 0, lhs_out_bl_C_out, 0, idle, u
0, in_fork_Cond, 0, lhs_in_buf_Cond, 0, transfer, 0
0, out_src_C_out, 0, out_lf_C_out, 0, transfer, 
0, rhs_andi, 0, rhs_passer1, 0, idle, u
0, rhs_out_bl_C_out, 0, out_eq_C_out, 1, idle, u
0, lhs_passer1, 0, lhs_andi, 0, idle, u
0, lhs_fork_cond, 1, lhs_passer2, 1, idle, 0
0, lhs_passer2, 0, lhs_andi, 1, idle, u
0, A_in, 0, in_fork_A_in, 0, transfer, u
0, out_buf_rhs_nds_C_out, 0, rhs_out_bl_C_out, 1, idle, 
0, B_in, 1, in_fork_B_in, 0, accept, u
0, in_fork_A_in, 1, rhs_in_buf_A_in, 0, transfer, u
0, in_fork_A_in, 0, lhs_in_buf_A_in, 0, transfer, u
0, out_lf_C_out, 0, out_buf_lhs_nds_C_out, 0, transfer, 
0, rhs_in_buf_Cond, 0, rhs_passer1, 1, idle, 0
0, lhs_in_buf_B_in, 0, lhs_passer2, 0, idle, u
0, Cond, 2, in_fork_Cond, 0, transfer, 0
0, out_eq_C_out, 0, EQ_C_out, 0, accept, u
1, in_fork_Cond, 1, rhs_in_buf_Cond, 0, idle, 0
1, lhs_in_buf_A_in, 0, lhs_passer1, 0, transfer, u
1, rhs_in_buf_A_in, 0, rhs_andi, 0, stall, u
1, out_buf_lhs_nds_C_out, 0, lhs_out_bl_C_out, 1, stall, 
1, lhs_fork_cond, 0, lhs_passer1, 1, transfer, 0
1, out_lf_C_out, 1, out_buf_rhs_nds_C_out, 0, idle, 
1, rhs_in_buf_B_in, 0, rhs_andi, 1, accept, u
1, lhs_in_buf_Cond, 0, lhs_fork_cond, 0, stall, 0
1, in_fork_Cond, 0, lhs_in_buf_Cond, 0, idle, 0
1, out_src_C_out, 0, out_lf_C_out, 0, stall, 
1, rhs_andi, 0, rhs_passer1, 0, accept, u
1, lhs_fork_cond, 1, lhs_passer2, 1, stall, 0
1, A_in, 0, in_fork_A_in, 0, idle, u
1, out_buf_rhs_nds_C_out, 0, rhs_out_bl_C_out, 1, stall, 
1, in_fork_A_in, 1, rhs_in_buf_A_in, 0, idle, u
1, out_lf_C_out, 0, out_buf_lhs_nds_C_out, 0, idle, 
1, in_fork_A_in, 0, lhs_in_buf_A_in, 0, accept, u
1, rhs_in_buf_Cond, 0, rhs_passer1, 1, stall, 0
1, lhs_in_buf_B_in, 0, lhs_passer2, 0, accept, u
1, Cond, 2, in_fork_Cond, 0, idle, 0
2, lhs_in_buf_A_in, 0, lhs_passer1, 0, idle, u
2, lhs_fork_cond, 0, lhs_passer1, 1, idle, 0
