*** This is NuSMV 2.7.0 (compiled on (unknown))
*** Enabled addons are: compass
*** For more information on NuSMV see <http://nusmv.fbk.eu>
*** or email to <nusmv-users@list.fbk.eu>.
*** Please report bugs to <Please report bugs to <nusmv-users@fbk.eu>>

*** Copyright (c) 2010-2025, Fondazione Bruno Kessler

*** This version of NuSMV is linked to the CUDD library version 2.4.1
*** Copyright (c) 1995-2004, Regents of the University of Colorado

######################################################################
system diameter: 6
reachable states: 48 (2^5.58496) out of 1.34218e+08 (2^27)
  ------- State    1 ------
  seq_generator_A_in.outs = TRUE
  seq_generator_A_in.counter = 0
  seq_generator_B_in.outs = TRUE
  seq_generator_B_in.counter = 0
  seq_generator_ctrl.outs = TRUE
  seq_generator_ctrl.counter = 0
  sup_eager_gamma_mux_rhs.initop.reg = FALSE
  sup_eager_gamma_mux_rhs.initop.full = TRUE
  sup_eager_gamma_mux_rhs.cst_dup_fork.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_eager_gamma_mux_rhs.cst_dup_fork.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_eager_gamma_mux_rhs.cst_dup_fork.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_eager_gamma_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = FALSE
  sup_eager_gamma_mux_rhs.buff.data = FALSE
  sup_eager_gamma_mux_rhs.ctrl_fork.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_eager_gamma_mux_rhs.ctrl_fork.inner_fork.inner_reg_block_1.reg_value = TRUE
  ------- State    2 ------
  seq_generator_A_in.outs = FALSE
  seq_generator_A_in.counter = 0
  seq_generator_B_in.outs = TRUE
  seq_generator_B_in.counter = 0
  seq_generator_ctrl.outs = TRUE
  seq_generator_ctrl.counter = 0
  sup_eager_gamma_mux_rhs.initop.reg = FALSE
  sup_eager_gamma_mux_rhs.initop.full = TRUE
  sup_eager_gamma_mux_rhs.cst_dup_fork.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_eager_gamma_mux_rhs.cst_dup_fork.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_eager_gamma_mux_rhs.cst_dup_fork.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_eager_gamma_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = FALSE
  sup_eager_gamma_mux_rhs.buff.data = FALSE
  sup_eager_gamma_mux_rhs.ctrl_fork.inner_fork.inner_reg_block_0.reg_value = TRUE
