cycle, src_component, src_port, dst_component, dst_port, state, data
0, rhs_constant2, 0, rhs_mux_passer_ctrl, 2, stall, 1
0, in_fork_cond, 0, lhs_in_buf_cond, 0, transfer, 1
0, rhs_ctrl_fork, 0, rhs_ctrl_mux, 1, accept, 0
0, rhs_data_mux, 0, rhs_passer, 0, idle, u
0, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, stall, 0
0, dataF, 2, in_fork_dataF, 0, transfer, u
0, rhs_ctrl_passer, 0, rhs_initop, 0, idle, 0
0, lhs_dataF_passer, 0, lhs_res_mux, 1, accept, u
0, rhs_init_fork, 0, rhs_ctrl_mux2, 0, stall, 0
0, out_eq_res, 0, EQ_res, 0, accept, u
0, rhs_in_buf_dataT, 0, rhs_data_mux, 2, accept, u
0, lhs_in_buf_cond, 0, lhs_initop, 0, idle, 0
0, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, idle, 0
0, rhs_ctrl_not, 0, rhs_mux_passer_ctrl, 1, accept, 1
0, dataT, 1, in_fork_dataT, 0, transfer, u
0, rhs_ctrl_fork, 2, rhs_ctrl_not, 0, accept, 0
0, rhs_in_buf_dataF, 0, rhs_data_mux, 1, accept, u
0, rhs_in_buf_ctrl, 0, rhs_ctrl_fork, 0, accept, 0
0, lhs_in_buf_ctrl, 0, lhs_dataF_passer, 1, idle, 0
0, in_fork_dataT, 0, lhs_in_buf_dataT, 0, transfer, u
0, lhs_out_bl_res, 0, out_eq_res, 0, idle, u
0, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, idle, 0
0, in_fork_cond, 1, rhs_in_buf_cond, 0, transfer, 1
0, lhs_initop, 0, lhs_res_mux, 0, stall, 0
0, rhs_source, 0, rhs_constant, 0, stall, 
0, rhs_out_bl_res, 0, out_eq_res, 1, idle, u
0, lhs_in_buf_dataF, 0, lhs_dataF_passer, 0, idle, u
0, lhs_res_mux, 0, lhs_out_bl_res, 0, idle, u
0, rhs_ctrl_init, 0, rhs_ctrl_mux, 0, stall, 0
0, rhs_ctrl_fork, 1, rhs_ctrl_mux2, 1, accept, 0
