cycle, src_component, src_port, dst_component, dst_port, state, data
0, lhs_out_bl_result, 0, out_eq_result, 0, idle, 
0, out_lf_result, 0, out_buf_lhs_nds_result, 0, transfer, 
0, rhs_passer, 0, rhs_out_bl_result, 0, idle, 
0, in_fork_ctrl, 0, lhs_sink, 0, transfer, 0
0, out_eq_result, 0, EQ_result, 0, accept, 
0, lhs_source, 0, lhs_out_bl_result, 0, stall, 
0, out_lf_result, 1, out_buf_rhs_nds_result, 0, transfer, 
0, out_buf_lhs_nds_result, 0, lhs_out_bl_result, 1, idle, 
0, in_fork_ctrl, 1, rhs_in_buf_ctrl, 0, transfer, 0
0, out_buf_rhs_nds_result, 0, rhs_out_bl_result, 1, idle, 
0, out_nds_result, 0, out_lf_result, 0, transfer, 
0, rhs_out_bl_result, 0, out_eq_result, 1, idle, 
0, rhs_source, 0, rhs_passer, 0, stall, 
0, rhs_in_buf_ctrl, 0, rhs_passer, 1, accept, 0
0, ctrl, 0, in_fork_ctrl, 0, transfer, 0
1, lhs_out_bl_result, 0, out_eq_result, 0, stall, 
1, out_lf_result, 0, out_buf_lhs_nds_result, 0, idle, 
1, rhs_passer, 0, rhs_out_bl_result, 0, accept, 
1, in_fork_ctrl, 0, lhs_sink, 0, accept, 0
1, out_lf_result, 1, out_buf_rhs_nds_result, 0, idle, 
1, out_buf_lhs_nds_result, 0, lhs_out_bl_result, 1, stall, 
1, in_fork_ctrl, 1, rhs_in_buf_ctrl, 0, accept, 0
1, out_buf_rhs_nds_result, 0, rhs_out_bl_result, 1, stall, 
1, out_nds_result, 0, out_lf_result, 0, idle, 
1, rhs_out_bl_result, 0, out_eq_result, 1, accept, 
1, rhs_source, 0, rhs_passer, 0, transfer, 
1, rhs_in_buf_ctrl, 0, rhs_passer, 1, transfer, 0
1, ctrl, 0, in_fork_ctrl, 0, accept, 0
2, rhs_source, 0, rhs_passer, 0, stall, 
2, rhs_in_buf_ctrl, 0, rhs_passer, 1, accept, 0
