cycle, src_component, src_port, dst_component, dst_port, state, data
0, in_fork_val2, 1, rhs_in_buf_val2, 0, accept, 1
0, out_rhs_bl_B_out, 0, rhs_out_ndw_B_out, 0, idle, u
0, out_lf_B_out, 1, out_buf_rhs_nds_B_out, 0, accept, 
0, rhs_in_ndw_val2, 0, rhs_passer, 1, idle, 0
0, fork, 0, interpolator, 0, stall, 1
0, fork, 2, in_fork_val, 0, stall, 1
0, rhs_in_ndw_A_in, 0, rhs_passer, 0, idle, u
0, out_lhs_bl_B_out, 0, lhs_out_ndw_B_out, 0, idle, u
0, in_fork_val, 1, rhs_in_ndw_val, 0, stall, 1
0, in_fork_A_in, 1, rhs_in_buf_A_in, 0, transfer, u
0, lhs_in_buf_A_in, 0, lhs_in_ndw_A_in, 0, idle, u
0, rhs_in_buf_val2, 0, rhs_in_ndw_val2, 0, idle, 0
0, lhs_in_ndw_val, 0, lhs_passer, 1, idle, 0
0, rhs_in_ndw_val, 0, rhs_vm_sink_0, 0, accept, 1
0, lhs_passer, 0, out_lhs_bl_B_out, 0, idle, u
0, rhs_passer, 0, out_rhs_bl_B_out, 0, idle, u
0, lhs_out_ndw_B_out, 0, lhs_out_buf_B_out, 0, accept, u
0, lhs_in_buf_val, 0, lhs_in_ndw_val, 0, idle, 0
0, out_buf_rhs_nds_B_out, 0, out_rhs_bl_B_out, 1, idle, 
0, lhs_in_ndw_A_in, 0, lhs_passer, 0, idle, u
0, out_nds_B_out, 0, out_lf_B_out, 0, accept, 
0, out_lf_B_out, 0, out_buf_lhs_nds_B_out, 0, accept, 
0, in_fork_A_in, 0, lhs_in_buf_A_in, 0, transfer, u
0, A_in, 1, in_fork_A_in, 0, transfer, u
0, rhs_out_ndw_B_out, 0, rhs_out_buf_B_out, 0, accept, u
0, lhs_in_ndw_val2, 0, lhs_vm_sink_2, 0, accept, 1
0, val, 0, fork, 0, stall, 1
0, out_eq_B_out, 0, EQ_B_out, 0, accept, u
0, rhs_in_buf_A_in, 0, rhs_in_ndw_A_in, 0, idle, u
0, out_buf_lhs_nds_B_out, 0, out_lhs_bl_B_out, 1, idle, 
0, interpolator, 0, in_fork_val2, 0, stall, 1
0, in_fork_val, 0, lhs_in_buf_val, 0, accept, 1
0, in_fork_val2, 0, lhs_in_ndw_val2, 0, stall, 1
0, fork, 1, interpolator, 1, stall, 1
0, lhs_out_buf_B_out, 0, out_eq_B_out, 0, idle, u
0, rhs_out_buf_B_out, 0, out_eq_B_out, 1, idle, u
1, out_rhs_bl_B_out, 0, rhs_out_ndw_B_out, 0, accept, u
1, in_fork_A_in, 1, rhs_in_buf_A_in, 0, accept, u
1, lhs_in_buf_A_in, 0, lhs_in_ndw_A_in, 0, stall, u
1, in_fork_A_in, 0, lhs_in_buf_A_in, 0, accept, u
1, A_in, 1, in_fork_A_in, 0, accept, u
